PID,Country,Age,Gender,Counterbalance,Video_Gender,Smart,Behave,Grades,Edu_asp,nationality,nationality_other,origin,origin_other,parent,employment,employment_other,occupation,occupation_other,ethnicity,ethnicity_other,Education,SES,income_annual,,
21,1,39,Female,2,1,0,0,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Full-time,,Other (please specify),education,Caucasian,,Master's degree,6,"$96,000 - $199,999",,
127,1,51,Female,1,1,0,0,0,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Other,freelancer,Other (please specify),self employed,Other,prefer not to answer,Associate's degree or Certificate/Diploma,8,"Less than $22,999",,
134,1,56,Male,2,2,0,0,0,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,4,"Less than $22,999",,
N245,1,49,Male,2,2,0,0,0,High/Secondary school,United States of America,,United States of America,,Yes,Unemployed,,Unemployed,,Caucasian,,Some college/university,3,"$43,000  - $74,999",,
N248,1,47,Male,1,1,0,0,0,Some college/university,United States of America,,United States of America,,Yes,Full-time,,Service,,Caucasian,,High/Secondary school,7,"$23,000  - $42,999",,
N293,1,66,Female,1,1,0,0,0,Some college/university,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Some college/university,10,"Less than $22,999",,
R125,1,28,Male,2,2,0,0,0,Some high/secondary school,United States of America,,United States of America,,No,Part-time,,Sales and office,,African,,High/Secondary school,10,"Less than $22,999",,
R129,1,34,Male,1,1,0,0,0,PhD or other higher postgraduate degrees,United States of America,,United States of America,,No,Full-time,,Other (please specify),Human Resources Supervisor,African,,Some college/university,4,"Less than $22,999",,
R130,1,35,Male,1,2,0,0,1,Master's degree,United States of America,,United States of America,,Yes,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,Master's degree,8,"$96,000 -  $199,999",,
3,1,68,Male,2,2,0,0,0,High/Secondary school,United States of America,,United States of America,,No,Part-time,,"Management, professional, and related",,Caucasian,,Some college/university,7,"$23,000 - $42,999",,
7,1,34,Female,1,1,0,0,0,High/Secondary school,United States of America,,United States of America,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,7,"$96,000 - $199,999",,
20,1,37,Male,1,1,0,0,0,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,PhD or other higher postgraduate degrees,8,"$96,000 - $199,999",,
22,1,65,Female,1,2,0,0,0,Some college/university,United States of America,,Other (please specify):,South Korea,No,Retired,,Retired,,Asian,,Some college/university,6,"$23,000 - $42,999",,
97,1,52,Female,2,1,0,0,0,High/Secondary school,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Caucasian,,Some college/university,2,"Less than $22,999",,
116,1,53,Female,1,2,0,0,0,Master's degree,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,1,"Less than $22,999",,
139,1,63,Male,1,1,0,0,0,High/Secondary school,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Some college/university,6,"$43,000 - $74,999",,
145,1,19,Female,2,2,0,0,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Caucasian,,High/Secondary school,5,"$96,000 - $199,999",,
N213,1,19,Female,2,2,0,0,0,High/Secondary school,United States of America,,United States of America,,No,Part-time,,"Management, professional, and related",,Native American,,Bachelor's degree or Honors degree,8,"$23,000  - $42,999",,
N215,1,21,Male,2,2,0,0,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Full-time,,Sales and office,,"African,Latinx/Hispanic",,Bachelor's degree or Honors degree,5,"$23,000  - $42,999",,
N225,1,44,Male,1,1,0,0,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Full-time,,Sales and office,,Caucasian,,Bachelor's degree or Honors degree,9,"$23,000  - $42,999",,
N238,1,18,Transgender male,1,1,0,0,1,High/Secondary school,United States of America,,United States of America,,No,Student,,Student,,Asian,,Some college/university,6,"Less than $22,999",,
N247,1,42,Male,2,1,0,0,0,Some college/university,Other (please specify):,Jamaican ,United States of America,,No,Full-time,,Government,,African,,Associate's degree or Certificate/Diploma,9,"$75,000 - $95,999",,
N288,1,50,Female,1,1,0,0,0,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,No,Full-time,,"Management, professional, and related",,Caucasian,,High/Secondary school,4,"$23,000  - $42,999",,
R116,1,35,Male,2,1,0,0,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Full-time,,Service,,Caucasian,,Bachelor's degree or Honors degree,7,"$96,000 -  $199,999",,
R50,1,28,Female,1,2,0,0,0,High/Secondary school,Other (please specify):,PR,United States of America,,No,Unemployed,,Unemployed,,Latinx/Hispanic,,High/Secondary school,5,"$23,000  - $42,999",,
R51,1,64,Female,1,2,0,0,0,High/Secondary school,United States of America,,United States of America,,No,Retired,,Retired,,Caucasian,,High/Secondary school,4,I don't know,,
R57,1,70,Female,2,2,0,0,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Full-time,,Other (please specify),Non profit ,African,,Master's degree,8,"$43,000  - $74,999",,
R91,1,24,Male,2,1,0,0,0,High/Secondary school,United States of America,,United States of America,,No,Unemployed,,Unemployed,,African,,High/Secondary school,4,"Less than $22,999",,
R107,1,29,Male,1,1,0,0,0,Bachelor's degree or Honors degree,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Caucasian,,Bachelor's degree or Honors degree,6,"Less than $22,999",,
R79,1,23,Female,2,2,0,0,1,High/Secondary school,United States of America,,United States of America,,Yes,Full-time,,Other (please specify),Hostility ,African,,High/Secondary school,8,"$23,000  - $42,999",,
N281,1,18,Female,2,1,0,0,0,PhD or other higher postgraduate degrees,United States of America,,United States of America,,No,Other,Work from home ,Other (please specify),Work from home ,African,,Some high/secondary school,5,"Less than $22,999",,
R103,1,21,Male,2,1,0,0,0,High/Secondary school,United States of America,,United States of America,,No,Full-time,,Other (please specify),Retail,African,,High/Secondary school,1,"$23,000  - $42,999",,
R60,1,28,Female,1,1,0,0,0,High/Secondary school,United States of America,,United States of America,,Yes,Other,,Unemployed,,"Caucasian,Latinx/Hispanic",,High/Secondary school,10,"Less than $22,999",,
41,1,37,Male,2,2,0,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Master's degree,9,"$96,000 - $199,999",,
43,1,63,Female,2,1,0,1,1,High/Secondary school,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Associate's degree or Certificate/Diploma,6,"Less than $22,999",,
118,1,58,Female,1,2,0,1,1,Some college/university,United States of America,,United States of America,,No,Full-time,,"Management, professional, and related",,African,,Associate's degree or Certificate/Diploma,6,"$43,000 - $74,999",,
N218,1,52,Male,1,1,0,1,1,Some college/university,United States of America,,United States of America,,No,Unemployed,,Unemployed,,Native American,,Some college/university,2,"Less than $22,999",,
N235,1,64,Male,1,1,0,1,0,Some college/university,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Some college/university,6,"$43,000  - $74,999",,
N237,1,35,Male,1,2,0,1,1,PhD or other higher postgraduate degrees,United States of America,,United States of America,,No,Student,,Student,,"Caucasian,Latinx/Hispanic",,Master's degree,6,"Less than $22,999",,
N254,1,21,Male,2,1,0,1,1,Some college/university,United States of America,,United States of America,,No,Part-time,,Other (please specify),Manufacturing ,Asian,,Associate's degree or Certificate/Diploma,4,"$43,000  - $74,999",,
N286,1,51,Female,1,1,0,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Full-time,,Sales and office,,Caucasian,,Associate's degree or Certificate/Diploma,7,"$43,000  - $74,999",,
N307,1,20,Female,1,1,0,1,0,High/Secondary school,United States of America,,United States of America,,Yes,Full-time,,Sales and office,,Caucasian,,High/Secondary school,10,"$96,000 -  $199,999",,
R104,1,45,Male,2,1,0,1,1,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Full-time,,"Production, transportation, and material moving",,Caucasian,,High/Secondary school,3,"$43,000  - $74,999",,
R115,1,43,Male,1,1,0,1,1,High/Secondary school,United States of America,,United States of America,,No,Retired,,Retired,,Asian,,Bachelor's degree or Honors degree,2,"Less than $22,999",,
R52,1,63,Female,1,2,0,1,0,Associate's degree or Certificate/Diploma,United States of America,,United States of America,,Yes,Full-time,,Service,,Caucasian,,Some college/university,7,"$23,000  - $42,999",,
R67,1,70,Female,1,2,0,1,1,Master's degree,United States of America,,United States of America,,No,Part-time,,Other (please specify),Travel,Caucasian,,Master's degree,9,"$43,000  - $74,999",,
R82,1,56,Female,1,1,0,1,0,PhD or other higher postgraduate degrees,United States of America,,United States of America,,No,Unemployed,,Other (please specify),Disabled,Caucasian,,High/Secondary school,1,"Less than $22,999",,
18,1,48,Female,1,1,0,1,1,Some high/secondary school,United States of America,,United States of America,,Yes,Full-time,,"Management, professional, and related",,Caucasian,,Associate's degree or Certificate/Diploma,3,"$23,000 - $42,999",,
91,1,72,Female,1,1,0,1,1,High/Secondary school,United States of America,,United States of America,,No,Other,,Retired,,Caucasian,,Bachelor's degree or Honors degree,8,"$23,000 - $42,999",,
93,1,47,Male,1,1,0,1,0,High/Secondary school,United States of America,,United States of America,,No,Full-time,,"Construction, extraction, and maintenance",,Caucasian,,Bachelor's degree or Honors degree,7,"$43,000 - $74,999",,
146,1,64,Female,1,2,0,1,1,Bachelor's degree or Honors degree,United Kingdom,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Some college/university,6,"Less than $22,999",,
N268,1,35,Female,1,1,0,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Unemployed,,Unemployed,,Caucasian,,Associate's degree or Certificate/Diploma,7,"$43,000  - $74,999",,
N275,1,56,Female,1,2,0,1,1,Bachelor's degree or Honors degree,United States of America,,United States of America,,Yes,Retired,,Retired,,Caucasian,,Bachelor's degree or Honors degree,8,"$23,000  - $42,999",,
