PID,Smart_reason,Behave_reason,Grades_reason,
21,6,6,1,
127,1,4,1,
134,1,6,6,
N245,2,2,1,
N248,6,5,3,
N293,1,4,2,
R125,3,3,5,
R129,3,5,3,
R130,4,5,5,
3,1,6,6,
7,5,5,3,
20,1,4,5,
22,3,6,6,
97,1,3,1,
116,1,6,6,
139,2,5,2,
145,6,6,6,
N213,3,5,3,
N215,3,3,3,
N225,4,5,3,
N238,3,4,1,
N247,1,5,3,
N288,2,5,3,
R116,1,4,3,
R50,4,4,1,
R51,1,5,1,
R57,1,5,5,
R91,3,4,6,
R107,5,5,5,
R79,5,2,5,
N281,1,6,6,
R103,6,6,6,
R60,4,5,1,
41,3,1,6,
43,3,6,2,
118,3,1,2,
N218,2,5,2,
N235,4,3,1,
N237,3,1,2,
N254,6,2,2,
N286,6,5,1,
N307,1,5,1,
R104,3,2,1,
R115,4,2,2,
R52,1,2,1,
R67,2,2,2,
R82,3,1,2,
18,1,2,2,
91,3,5,2,
93,5,4,5,
146,2,6,2,
N268,3,2,2,
N275,1,2,2,
N300,4,1,2,
N312,3,1,1,
R106,2,2,2,
R126,3,2,3,
R128,1,2,2,
R131,1,2,2,
R59,3,4,3,
R81,1,2,1,
R88,3,3,1,
R89,1,2,1,
R98,1,4,3,
R99,1,2,2,
120,3,3,3,
128,1,3,3,
136,3,2,3,
143,3,2,2,
N302,3,2,3,
N313,3,2,1,
R75,2,2,5,
R76,3,2,3,
126,3,6,2,
138,6,6,6,
N220,4,1,2,
N258,3,1,3,
R56,3,2,2,
R84,5,5,1,
N229,3,2,2,
N277,1,6,3,
R72,3,2,2,
R78,2,5,3,
N315,4,4,4,
159,5,5,5,
242,1,6,6,
246,3,5,3,
272,1,6,6,
N341,1,4,1,
N345,1,4,4,
N348,1,1,1,
N349,1,4,1,
N358,3,5,4,
N366,1,1,3,
N393,4,6,3,
R260,4,4,4,
171,6,6,6,
252,4,6,6,
255,4,6,6,
N360,5,1,4,
R241,3,1,3,
R244,5,6,5,
N371,2,6,6,
266,4,2,1,
177,3,2,6,
203,3,2,4,
206,1,1,3,
217,2,2,2,
N351,1,3,3,
N370,4,4,1,
R228,2,2,2,
R248,3,2,2,
R251,1,2,3,
166,5,4,3,
167,3,2,6,
176,3,2,2,
182,2,2,2,
196,6,1,3,
205,1,2,1,
223,2,2,2,
238,3,2,2,
253,6,3,6,
256,3,2,3,
273,5,2,2,
280,3,2,5,
291,5,5,5,
N326,1,2,2,
N333,6,1,5,
N339,3,2,2,
N343,4,2,2,
N353,3,2,2,
N357,3,2,4,
