"Age","Gender","Country","Video_Gender","parent","Education","PID","SES","Edu_asp","income_annual","occupation","Trait","Conformity_pref","Trait_why","Why"
44,"Female","US","2","0",4,"10",6,5,"$43,000 - $74,999","Management, professional, and related","Smart",1,"Smart_reason","Null"
44,"Female","US","2","0",4,"10",6,5,"$43,000 - $74,999","Management, professional, and related","Smart",1,"Behave_reason","Personality"
44,"Female","US","2","0",4,"10",6,5,"$43,000 - $74,999","Management, professional, and related","Smart",1,"Grades_reason","Cognitive"
44,"Female","US","2","0",4,"10",6,5,"$43,000 - $74,999","Management, professional, and related","Behave",1,"Smart_reason","Null"
44,"Female","US","2","0",4,"10",6,5,"$43,000 - $74,999","Management, professional, and related","Behave",1,"Behave_reason","Personality"
44,"Female","US","2","0",4,"10",6,5,"$43,000 - $74,999","Management, professional, and related","Behave",1,"Grades_reason","Cognitive"
44,"Female","US","2","0",4,"10",6,5,"$43,000 - $74,999","Management, professional, and related","Grades",1,"Smart_reason","Null"
44,"Female","US","2","0",4,"10",6,5,"$43,000 - $74,999","Management, professional, and related","Grades",1,"Behave_reason","Personality"
44,"Female","US","2","0",4,"10",6,5,"$43,000 - $74,999","Management, professional, and related","Grades",1,"Grades_reason","Cognitive"
26,"Female","US","2","1",1,"100",6,6,"1","Unemployed","Smart",1,"Smart_reason","Cognitive"
26,"Female","US","2","1",1,"100",6,6,"1","Unemployed","Smart",1,"Behave_reason","Normative"
26,"Female","US","2","1",1,"100",6,6,"1","Unemployed","Smart",1,"Grades_reason","Behavioral"
26,"Female","US","2","1",1,"100",6,6,"1","Unemployed","Behave",1,"Smart_reason","Cognitive"
26,"Female","US","2","1",1,"100",6,6,"1","Unemployed","Behave",1,"Behave_reason","Normative"
26,"Female","US","2","1",1,"100",6,6,"1","Unemployed","Behave",1,"Grades_reason","Behavioral"
26,"Female","US","2","1",1,"100",6,6,"1","Unemployed","Grades",1,"Smart_reason","Cognitive"
26,"Female","US","2","1",1,"100",6,6,"1","Unemployed","Grades",1,"Behave_reason","Normative"
26,"Female","US","2","1",1,"100",6,6,"1","Unemployed","Grades",1,"Grades_reason","Behavioral"
60,"Female","US","2","1",1,"104",7,5,"2","Unemployed","Smart",1,"Smart_reason","Normative"
60,"Female","US","2","1",1,"104",7,5,"2","Unemployed","Smart",1,"Behave_reason","Null"
60,"Female","US","2","1",1,"104",7,5,"2","Unemployed","Smart",1,"Grades_reason","Normative"
60,"Female","US","2","1",1,"104",7,5,"2","Unemployed","Behave",1,"Smart_reason","Normative"
60,"Female","US","2","1",1,"104",7,5,"2","Unemployed","Behave",1,"Behave_reason","Null"
60,"Female","US","2","1",1,"104",7,5,"2","Unemployed","Behave",1,"Grades_reason","Normative"
60,"Female","US","2","1",1,"104",7,5,"2","Unemployed","Grades",1,"Smart_reason","Normative"
60,"Female","US","2","1",1,"104",7,5,"2","Unemployed","Grades",1,"Behave_reason","Null"
60,"Female","US","2","1",1,"104",7,5,"2","Unemployed","Grades",1,"Grades_reason","Normative"
59,"Male","US","2","0",1,"105",3,5,"2","Other (please specify)","Smart",1,"Smart_reason","Cognitive"
59,"Male","US","2","0",1,"105",3,5,"2","Other (please specify)","Smart",1,"Behave_reason","Cognitive"
59,"Male","US","2","0",1,"105",3,5,"2","Other (please specify)","Smart",1,"Grades_reason","Cognitive"
59,"Male","US","2","0",1,"105",3,5,"2","Other (please specify)","Behave",1,"Smart_reason","Cognitive"
59,"Male","US","2","0",1,"105",3,5,"2","Other (please specify)","Behave",1,"Behave_reason","Cognitive"
59,"Male","US","2","0",1,"105",3,5,"2","Other (please specify)","Behave",1,"Grades_reason","Cognitive"
59,"Male","US","2","0",1,"105",3,5,"2","Other (please specify)","Grades",1,"Smart_reason","Cognitive"
59,"Male","US","2","0",1,"105",3,5,"2","Other (please specify)","Grades",1,"Behave_reason","Cognitive"
59,"Male","US","2","0",1,"105",3,5,"2","Other (please specify)","Grades",1,"Grades_reason","Cognitive"
63,"Male","US","1","1",2,"106",5,4,"4","Other (please specify)","Smart",1,"Smart_reason","Normative"
63,"Male","US","1","1",2,"106",5,4,"4","Other (please specify)","Smart",1,"Behave_reason","Normative"
63,"Male","US","1","1",2,"106",5,4,"4","Other (please specify)","Smart",1,"Grades_reason","Normative"
63,"Male","US","1","1",2,"106",5,4,"4","Other (please specify)","Behave",1,"Smart_reason","Normative"
63,"Male","US","1","1",2,"106",5,4,"4","Other (please specify)","Behave",1,"Behave_reason","Normative"
63,"Male","US","1","1",2,"106",5,4,"4","Other (please specify)","Behave",1,"Grades_reason","Normative"
63,"Male","US","1","1",2,"106",5,4,"4","Other (please specify)","Grades",1,"Smart_reason","Normative"
63,"Male","US","1","1",2,"106",5,4,"4","Other (please specify)","Grades",1,"Behave_reason","Normative"
63,"Male","US","1","1",2,"106",5,4,"4","Other (please specify)","Grades",1,"Grades_reason","Normative"
46,"Female","US","2","1",1,"109",5,3,"$43,000 - $74,999","Unemployed","Smart",1,"Smart_reason","Normative"
46,"Female","US","2","1",1,"109",5,3,"$43,000 - $74,999","Unemployed","Smart",1,"Behave_reason","Behavioral"
46,"Female","US","2","1",1,"109",5,3,"$43,000 - $74,999","Unemployed","Smart",1,"Grades_reason","Irrelevant"
46,"Female","US","2","1",1,"109",5,3,"$43,000 - $74,999","Unemployed","Behave",1,"Smart_reason","Normative"
46,"Female","US","2","1",1,"109",5,3,"$43,000 - $74,999","Unemployed","Behave",1,"Behave_reason","Behavioral"
46,"Female","US","2","1",1,"109",5,3,"$43,000 - $74,999","Unemployed","Behave",1,"Grades_reason","Irrelevant"
46,"Female","US","2","1",1,"109",5,3,"$43,000 - $74,999","Unemployed","Grades",1,"Smart_reason","Normative"
46,"Female","US","2","1",1,"109",5,3,"$43,000 - $74,999","Unemployed","Grades",1,"Behave_reason","Behavioral"
46,"Female","US","2","1",1,"109",5,3,"$43,000 - $74,999","Unemployed","Grades",1,"Grades_reason","Irrelevant"
48,"Female","US","1","0",1,"110",7,5,"1","Unemployed","Smart",1,"Smart_reason","Normative"
